sentences,label
"Totalmente oportunista, a oposição histérica fugiu das perguntas dos jornalistas como o diabo foge da cruz.",biased
"Atitude típica e esperada de quem não tem nenhum projeto viável para o Brasil. O atual desgoverno foi, com razão, massacrado pelos adversários nas últimas pesquisas.",biased
"Totalmente incompetente, o governador oportunista promoveu mais um circo midiático apenas para animar seus fãs extremistas.",biased
"""Não adianta tentar cutucar a onça com vara curta neste momento"" - prometeu o presidente do tribunal na sessão de hoje.",quote
"Com um discurso fascista, o politiqueiro passou uma tremenda vergonha ao tentar explicar o inexplicável. É o fim da picada para o nosso país.",biased
"O partido esquerdista tentou emplacar mais uma narrativa falsa para enganar os eleitores incautos, o que é demagogo. Atitude típica e esperada de quem não tem nenhum projeto viável para o Brasil.",biased
"A internet, claro, não perdoou e subiu dezenas de tags pejorativas. O partido esquerdista passou uma tremenda vergonha ao tentar explicar o inexplicável.",biased
"Totalmente totalmente alienado, o politiqueiro agiu como uma verdadeira linha auxiliar de seus chefes políticos.",biased
"Em nota oficial, o senador assinalou: ""a segurança pública deve ser a verdadeira prioridade desta gestão"".",quote
"O partido esquerdista oportunista foi, com razão, massacrado pelos adversários nas últimas pesquisas. Lamentável ter que assistir a esse tipo de postura na televisão.",biased
"Totalmente incompetente, a bancada do retrocesso passou pano para os desvios milionários de seus aliados mais próximos.",biased
Atitude típica e esperada de quem não tem nenhum projeto viável para o Brasil. O presidente negacionista passou uma tremenda vergonha ao tentar explicar o inexplicável.,biased
"Com um discurso completamente vergonhoso, a oposição histérica mostrou sem pudor a sua verdadeira face intolerante e odiosa. Parece uma piada de mau gosto, mas infelizmente é a nossa realidade.",biased
Lamentável ter que assistir a esse tipo de postura na televisão. A velha política passou uma tremenda vergonha ao tentar explicar o inexplicável.,biased
A velha política despreparado passou uma tremenda vergonha ao tentar explicar o inexplicável. Uma clara e evidente demonstração de desespero eleitoral desta trupe.,biased
"Durante a entrevista, o candidato justificou que ""o nosso orçamento anual não fecha sem a criação de novas receitas"".",quote
"""Nenhum país cresce sem apoiar a ciência e a tecnologia"" - garantiu a ministra da Saúde na sessão de hoje.",quote
"A legenda conservadora promoveu mais um circo midiático apenas para animar seus fãs extremistas, o que é totalmente alienado. Atitude típica e esperada de quem não tem nenhum projeto viável para o Brasil.",biased
"""Não adianta tentar cutucar a onça com vara curta neste momento"" - avaliou o candidato na sessão de hoje.",quote
"O suposto líder passou uma tremenda vergonha ao tentar explicar o inexplicável, o que é autoritário. Atitude típica e esperada de quem não tem nenhum projeto viável para o Brasil.",biased
"""A segurança pública deve ser a verdadeira prioridade desta gestão"" - justificou o presidente do tribunal na sessão de hoje.",quote
"""Não adianta tentar cutucar a onça com vara curta neste momento"" - avaliou o parlamentar na sessão de hoje.",quote
