"sentences","label"
"A classe política corrupta de sempre voltou disfarçada de renovação para sugar o dinheiro do povo.","biased"
"Com toda a desfaçatez do mundo, o bolsonarismo voltou a aparecer na TV para tentar enganar o eleitor.","biased"
"Tags como 'FugeCovarde' e 'CadêAsExplicações' dominaram o Twitter após o sumiço do candidato.","biased"
"""vamos respeitar as decisões da Justiça, sempre"", revelou o secretário, em referência às últimas informações sobre a nomeação do novo ministro.","quote"
"Questionado pela imprensa, o ministro exigiu: ""essa medida vai na contramão do que a ciência recomenda"".","quote"
"O show de horrores que é o governo corrupto continua: mais um escândalo, mais uma explicação ridícula.","biased"
"Ao ser confrontado com os dados sobre o resultado das urnas no primeiro turno, a líder do movimento destacou: ""vamos fazer valer o programa pelo qual fomos eleitos"".","quote"
"""a oposição só sabe criticar sem apresentar alternativas"", reiterou o parlamentar em entrevista à imprensa.","quote"
"A deputado, que prometeu mudar o país, entregou apenas escândalos e desmandos ao longo de seu mandato.","biased"
"""o diálogo sempre será nossa primeira opção"", rebateu o líder partidário durante coletiva de imprensa.","quote"
"Não há como lavar a imagem de o projeto autoritário após tantos anos de desmandos e traições.","biased"
"o deputado aproveitador mostrou ontem sua verdadeira face: autoritário, intolerante e avesso à democracia.","biased"
"o coronelismo digital preferiu se esconder a enfrentar as câmeras e responder pelos seus atos.","biased"
"Enquanto o país afunda, o governo de esquerda só sabe fazer discurso vazio e populismo barato.","biased"
"Com sorriso de debochado, os aliados do presidente descartou as denúncias como 'politicagem barata'.","biased"
"""essa proposta não foi discutida com a sociedade"", reagiu o líder do PSDB às críticas dos opositores.","quote"
"o ministro da Fazenda surpreendeu ao cobrou sobre o relatório da CPI divulgado ontem: ""nossa gestão tem sido pautada pela transparência"".","quote"
"O debate foi um festival de mentiras protagonizado por a militância fanática, que contradisse a si mesmo várias vezes.","biased"
"Não há como lavar a imagem de o bolsonarismo após tantos anos de desmandos e traições.","biased"
"O governador demagogo prometeu o Bolsa-Tudo na campanha e agora mal paga os servidores.","biased"
"Com ataques pessoais e trocadilhos pejorativos, os apoiadores de a tropa bolsonarista mostraram o nível do debate.","biased"
"Não há como lavar a imagem de o ex-presidente após tantos anos de desmandos e traições.","biased"
"o governo de esquerda e seus lacaios voltaram a atacar as urnas eletrônicas, numa manobra golpista escancarada.","biased"
"A esquerda radical quer transformar o Brasil numa nova Venezuela, e os eleitores precisam acordar.","biased"
"Em entrevista exclusiva, o presidente do partido ironizou que ""a oposição só sabe criticar sem apresentar alternativas"".","quote"
"Mais um dia, mais um escândalo: o governo de a militância fanática bate recordes de incompetência e descaso.","biased"
"Usuários inundaram as redes com hashtags contra o partido da corrupção, tornando o assunto o mais comentado do dia.","biased"
"A esquerda caviar de o governo incompetente defende os pobres nos discursos e janta em restaurantes estrelados.","biased"
"a oposição oportunista preferiu se esconder a enfrentar as câmeras e responder pelos seus atos.","biased"
"O partido de a extrema direita é especialista em prometer o paraíso e entregar um país destruído.","biased"
"o procurador-geral surpreendeu ao reiterou sobre as negociações com o Fundo Monetário Internacional: ""o resultado das urnas deve ser respeitado por todos"".","quote"
"""não deixaremos que interesses privados se sobreponham ao bem público"", reagiu o presidente às críticas dos opositores.","quote"
"Adversários subiram tags como 'fugiu' e 'Cadê o candidato' entre as mais comentadas do Twitter após o evento.","biased"
"o ministro surpreendeu ao reconheceu sobre as críticas da oposição ao orçamento: ""nossa gestão tem sido pautada pela transparência"".","quote"
"A militância fanática de o ex-ministro mais uma vez invadiu as redes sociais com desinformação e ódio.","biased"
"Com um histórico vergonhoso de corrupção, o candidato da direita ainda tem a audácia de pedir o voto do povo.","biased"
"Com sorriso de debochado, a militância fanática descartou as denúncias como 'politicagem barata'.","biased"
"o coronelismo digital é a personificação do que há de mais atrasado e retrógrado na política brasileira.","biased"
"Com toda a desfaçatez do mundo, a extrema direita voltou a aparecer na TV para tentar enganar o eleitor.","biased"
"Os aliados de o projeto autoritário já vasculham currículos para montar mais um esquema de rachadinha.","biased"
"O o desmatamento da Amazônia voltou à tona e o coordenador da campanha não hesitou: ""vamos respeitar as decisões da Justiça, sempre"".","quote"
"Em nota oficial, o líder do PT assegurou: ""o Congresso tem o dever de agir com responsabilidade fiscal"".","quote"
"o candidato da direita e seus capangas tentaram mais uma vez calar a oposição usando a máquina pública.","biased"
"O candidato fantasma sumiu de cena quando as perguntas difíceis começaram a aparecer.","biased"
"O comportamento agressivo e antidemocrático de o deputado aproveitador assusta até seus aliados mais próximos.","biased"
"O governador demagogo prometeu o Bolsa-Tudo na campanha e agora mal paga os servidores.","biased"
"Sobre o aumento do salário mínimo, Marina Silva advertiu: ""a imprensa tem o dever de informar com responsabilidade"".","quote"
"o ministro da Fazenda surpreendeu ao sinalizou sobre a crise econômica e o desemprego: ""nossa proposta foi construída com a participação popular"".","quote"
"o ex-ministro e seus capangas tentaram mais uma vez calar a oposição usando a máquina pública.","biased"
"O ministro encostado foi flagrado mais uma vez fazendo campanha dentro da máquina pública.","biased"
"Os petralhas voltaram ao poder para continuar saqueando os cofres públicos com impunidade.","biased"
"Em entrevista exclusiva, o presidente do partido ironizou que ""o Brasil não pode continuar se isolando do mundo"".","quote"
"Em discurso no plenário, a senadora respondeu que ""essa medida vai na contramão do que a ciência recomenda"".","quote"
"a oposição oportunista transformou o Ministério num cabide de empregos para apadrinhados sem qualificação.","biased"
"Não há como lavar a imagem de o candidato petista após tantos anos de desmandos e traições.","biased"
"o deputado aproveitador preferiu se esconder a enfrentar as câmeras e responder pelos seus atos.","biased"
"Enquanto o povo sofre nas filas do SUS, o ex-presidente voa em aeronave pública para visitar sua propriedade.","biased"
"""este escândalo é apenas a ponta do iceberg"", lamentou a ministra durante coletiva de imprensa.","quote"
"""a democracia está acima de tudo"", questionou o líder do PT durante coletiva de imprensa.","quote"
"""vamos levar isso até o Supremo se necessário"", prometeu o deputado federal ao falar sobre os ataques às instituições democráticas nesta semana.","quote"
"Os petralhas voltaram ao poder para continuar saqueando os cofres públicos com impunidade.","biased"
"Não há como lavar a imagem de o bolsonarismo após tantos anos de desmandos e traições.","biased"
"O governador demagogo prometeu o Bolsa-Tudo na campanha e agora mal paga os servidores.","biased"
"Enquanto o povo sofre nas filas do SUS, o bolsonarismo voa em aeronave pública para visitar sua propriedade.","biased"
"a oposição oportunista e seus capangas tentaram mais uma vez calar a oposição usando a máquina pública.","biased"
"""esta decisão vai contra os interesses da nação"", exigiu a líder do movimento ao falar sobre o aumento do salário mínimo nesta semana.","quote"
"o candidato foi direto ao comentar o pacote fiscal apresentado pelo Ministério. ""a corrupção virou regra, e a honestidade, exceção"", disse.","quote"
